combo,tier,match_pct,category,meaning
🔥💋💦,Legendary,100,Chemistry,Absolute fire — irresistible heat
😍🫦🔥,Legendary,96,Chemistry,Obsessed and burning for you
💋👀😏,Legendary,92,Chemistry,Caught looking no regrets
😘🫦💦,Legendary,90,Chemistry,Kissable energy dripping chemistry
🥒💦😍,Legendary,88,Chemistry,Obvious double-sense fully committed
😉💋❤️,Fire,82,Romance,Flirty kiss with real feelings
👀🔥😏,Fire,80,Attraction,Watching you burn with curiosity
🫦💦😘,Fire,78,Chemistry,Lips + thirst + a kiss — loaded
❤️🔥😍,Fire,76,Romance,Love that's genuinely on fire
😏😘💋,Fire,74,Flirt,Triple flirt — bold and unapologetic
😉🥒😂,Fire,72,Playful,Knows the joke plays along
👀😍❤️,Fire,70,Crush,Sees you falls a little
😊🔥😘,Spark,65,Warmth,Sweet on the outside fire inside
🙏❤️😍,Spark,62,Devotion,Grateful and completely smitten
😂💋😉,Spark,60,Playful,Laughs then steals a kiss
👋😏💋,Spark,58,Flirt,Casual hello turns flirty fast
🤔💋😘,Spark,55,Curiosity,Still figuring it out but kissing anyway
❤️😊🙏,Spark,52,Sweet,Warm grateful genuine affection
😮💦😍,Spark,50,Surprise,Caught off guard totally into it
👍😉🔥,Spark,48,Approval,Approve of the vibe hot take
😊❤️👋,Vibe,42,Friendly,Warm hello open heart
🤔😊👍,Vibe,38,Casual,Thinking it over cautiously good
👋😊😂,Vibe,35,Friendly,Lighthearted easy to be around
😢❤️🙏,Vibe,30,Emotional,Vulnerable heartfelt connection
😮😊👍,Vibe,28,Mild,Pleasantly surprised open minded
👎🤔😢,Chill,18,Mismatch,Not feeling it confused sad
😢👎😮,Chill,12,Disconnect,Disappointment all the way down
🤔👎😊,Chill,10,Uncertain,Polite but not convinced at all
👋😮👎,Chill,8,Awkward,Unexpected and not in a good way
😢🤔👎,Chill,5,Reject,Sad unsure hard no
